MANDT,AGENCYNUM,NAME,STREET,POSTBOX,POSTCODE,CITY,COUNTRY,REGION,TELEPHONE,URL,LANGU,CURRENCY,LOC_4326,LNG,LAT
300,00000119,Everywhere,Regensburger Platz 23,,81679,Muenchen,DE,09,+49 89-2499239,http://www.everywhere.sap,D,EUR,010100000017D28668193A27407BC03C64CA124840,11.6134751,48.1468015
300,00000120,Happy Holiday,Rastenburger Str. 12,,28779,Bremen,DE,04,+49 3266-288817,http://www.haphol.sap,D,EUR,010100000060E5D022DB292140380664AF779B4A40,8.58175,53.21458999999999
300,00000121,No Name,Schwalbenweg 43,,52078,Aachen,DE,05,+49 241-77729,http://www.nn.sap,D,EUR,0101000000F8DA7DD81C891840CA84043175624940,6.133899100000001,50.7692014
300,00000122,Fly Low,Chemnitzer Str. 42,,01187,Dresden,DE,14,+49 351-5423-00,http://www.fly-low.sap,D,EUR,01010000002B5E7699AB6C2B408E91EC116A844940,13.7122467,51.034487
300,00000125,Trans World Travel,100 Industrial Drive,,60804,Chicago,US,IL,+1 708-454-8723,http://www.twt.sap,E,USD,0101000000E08AC404351856C07E3B8908FF0C4540,-88.37823600000002,42.101533
300,00000130,Bright Side of Life,340 State Street,,30432,San Francisco,US,CA,+1 415-454-9877,http://www.ruebennase.sap,E,USD,01010000002414B6FA45995EC090A4A487A1E54240,-122.3948962,37.793992
300,00000152,Sunny, Sunny, Sunny,1300 State Street,,19003,Philadelphia,US,PA,+1 215-090-7659,http://www.s3.sap,E,USD,0101000000184CB2C439D352C0121F8E6445004440,-75.3004009,40.0021177
300,00000222,Supercheap,1400, Washington Circle,,30439,Los Angeles,US,CA,+1 251-369-2510,http://www.supercheap.sap,E,USD,01010000009DD843FB58925DC0D591C8E30E054140,-118.286681,34.0395169
300,00000224,Hitchhiker,21 Rue de Moselle,,92132,Issy-les-Moulineaux,FR,57,+33 1-405-555-888,http://www.42.sap,F,EUR,0101000000A0B07A76AF390240FDDD9623BF694840,2.2781667,48.8261456
300,00000229,Fly Now, Pay Later,100 Madison,,11012,New York,US,NY,+1 512 343-8543,http://www.fn-pl.sap,E,USD,0101000000C2DE1F4A0F7F52C0A58D7E8F555F4440,-73.98530819999999,40.7447986
300,00000233,Real Weird Vacation,949 5th Street,,V6T 1Z4,Vancouver,CA,,+1 604 827-8024,http://www.reweva.sap,E,CAD,01010000007E2B233F2CC85EC0A4B6C315069D4840,-123.1277006,49.2267482
300,00000254,Cap Travels Ltd.,10 Mandela St,16 05 29,2128,Johannesburg,ZA,06,+27 11 886-8981,http://www.cap-travels.co.za,E,ZAR,0101000000B46F93F6ABD13B40271B6A6F4B3F3AC0,27.8190302,-26.2472448
300,00000284,Rainy, Stormy, Cloudy,Lindenstr. 462,,70563,Stuttgart,DE,08,+49 711-7992-00,http://www.windy.sap/rsc/,D,EUR,0101000000409248916B352240C0153F7C4F5D4840,9.1043363,48.7289882
300,00000291,Women only,Kirchstr. 53,,55124,Mainz,DE,07,+49 6131-543-00,http://www.women-only.sap,D,EUR,0101000000D2DEE00B936920408E40BCAE5F004940,8.206199999999999,50.00292
300,00000294,Maxitrip,Flugfeld 17,11 06 68,65128,Wiesbaden,DE,05,+49 611-55 66 77,http://www.maxitrip.sap,D,EUR,0101000000C0B975EDC17A204004F97E0F030A4940,8.239760799999999,50.0782184
300,00000297,Intertravel,Michigan Ave,,60154,Chicago,US,IL,+1 788 798-6555,http://www.intertravel.sap,E,USD,0101000000B62FFBD0E0E755C009EEF60FD8E84440,-87.62309669999999,41.8190937
300,00000301,Ultimate Goal,300 Peach tree street Sou,,01069,Atlanta,US,GA,+1 874-654-6686,http://www.ultimate-goal.sap,E,USD,0101000000A0353FFED21855C06F9EEA909BE14040,-84.387878,33.76256
300,00000304,Submit and Return,20890 East Central Ave,,30987,Palo Alto,US,CA,+1 652 645-5236,http://www.sar.sap,E,USD,0101000000986E6D3CB3855EC0A3FC492135B34240,-122.0890647,37.4000589
300,00000319,All British Air Planes,224 Tomato Lane,,08965,Vineland,US,NJ,+44 609-896-Moore,http://www.abap.sap,E,USD,01010000008598A663A9C152C02682829C41BE4340,-75.02596369999999,39.4863773
300,00000320,Rocky Horror Tours,789 Santa Monica Blvd.,,08934,Santa Monica,US,PA,+1 64351-6455-654,http://www.frank.furter.sap,E,USD,0101000000586A6226769F5DC093B0CAE083024140,-118.4915863,34.0196496
300,00000323,Miles and More,777 Arlington Blvd.,,46515,Elkhart,US,IN,+1 646 867-6888,http://www.mam.sap,E,USD,01010000001165B9B6817E55C0D34A21904BD74440,-85.9766671,41.6819935
300,00000325,Not Only By Bike,Saalburgstr. 765,,60385,Frankfurt,DE,06,+49 69 465789-0,http://www.nobb.sap,D,EUR,01010000001EE4501AC56921407788DA9145104940,8.7065819,50.1271231
300,00000188,Fly & Smile,Zeppelinstr. 17,16 05 29,60318,Frankfurt,DE,06,+49 69-99-0,http://www.fly-and-smile.sap,D,EUR,0101000000BF1A56A7B95F214067C0B40309104940,8.6869633,50.1252751
300,00000055,Sunshine Travel,134 West Street,,54323,Rochester,US,NY,+1 901-632-5620,http://www.sunshine-travel.sap,E,USD,01010000002EF367895F6B53C01C0D3BE702964540,-77.6777061,43.1719636
300,00000061,Fly High,Berliner Allee 11,,40880,Duesseldorf,DE,05,+49 2102 69555,http://www.flyhigh.sap,D,EUR,010100000096EE096D94201B40C429841FE69B4940,6.7818162,51.21796029999999
300,00000087,Happy Hopping,Calvinstr. 36,,13467,Berlin,DE,11,+49 30-8853-0,http://www.haphop.sap,D,EUR,01010000007E71A94A5BB42A40E0394A1410434A40,13.352259,52.5239282
300,00000093,Pink Panther,Auf der Schanz 54,,65936,Frankfurt,DE,06,+49 69-467653-0,http://www.pinkpanther.sap,D,EUR,0101000000DDF934DDA11F21407965CD7E930F4940,8.5617818,50.1216887
300,00000100,Your Choice,Gustav-Jung-Str. 425,,90455,Nuernberg,DE,09,+49 9256-4548-0,http://www.yc.sap,D,EUR,01010000007A99171692262640E7F230FEC7AF4840,11.0753333,49.3732908
300,00000101,Bella Italia,Via Marconi 123,,00139,Roma,IT,,+39 6 893546721,http://www.tours.it/Adventure/,I,EUR,01010000000D72721AFDEF28404103FBF900EF4440,12.4687279,41.8672173
300,00000103,Burns Nuclear,14 Science Park Drive,,118228,Singapore,SG,,+65 777-5566,http://www.burns-burns-burns.sg,E,SGD,01010000007B87DBA161F259402104E44BA8A0F43F,103.787209,1.289223
300,00000104,Honauer Reisen GmbH,Baumgarten 8,,4212,Neumarkt,AT,,+43 7941 8903,http://www.honauer.at,D,EUR,0101000000DDFB0A88FFDE2C40AD889AE8F3364840,14.4355433,48.4293185
300,00000105,Travel from Walldorf,Altonaer Str. 24,,10557,Berlin,DE,11,+49 30-622860,http://www.travel-from-walldorf,D,EUR,0101000000064E113BAEAD2A404D21A17774424A40,13.3392199,52.5191793
300,00000106,Voyager Enterprises,Gustavslundsvaegen 151,,70563,Stockholm,SE,,+46 8/ 587 70000,http://www.starfleet.ufp,V,SEK,0101000000E345706DF2FB31400BA1DEE753AA4D40,17.9841679,59.3306856
300,00000107,Ben McCloskey Ltd.,74 Court Oak Rd,,B17 9TN,Birmingham,GB,,+44 121 365-2251,http://www.ben-mcCloskey.co.uk,E,GBP,0101000000FD42D9A55774FFBF6EB36785D83A4A40,-1.9659039,52.4597327
300,00000108,Pillepalle Trips,Gorki Park 4,,8008,Zuerich,CH,,+41 1 345-5321,http://www.pi-pa-tri.sap,D,CHF,0101000000FCE07CEA581521407BA6F2D13DB04740,8.541694,47.3768866
300,00000109,Kangeroos,5 Lancaster drive,,20001,London,GB,LO,+44 171-2937638,http://www.hopp.sap,E,GBP,0101000000A07653252598C5BF0C80A77FFFC54940,-0.1687056,51.5468597
300,00000110,Bavarian Castle,Pilnizerstr. 241,,01069,Dresden,DE,,+49 98-32832732,http://www.neu.schwanstein.sap,D,EUR,0101000000DD1F949CB8B12B40EF3614E3A1834940,13.8471116,51.0283779
300,00000295,The Ultimate Answer,20 Avon Rd,,AB1 1SA,Manchester,GB,AV,+44 934-66799,http://www.thulan.sap,E,GBP,0101000000EF2BC544399701C07E26B15A4FB74A40,-2.1988397,53.4321092
300,00000102,Hot Socks Travel,450 George St,15 08 69,8053,Sydney,AU,NSW,+61 2 2004 5000,http://www.hst.co.au,E,AUD,01010000004CBD1358A5E66240DE5A817C64EF40C0,151.2076836,-33.8702541
300,00000123,Aussie Travel,150 Queens Rd,,M8 7RYP,Manchester,GB,GM,+44 161 2052000,http://www.down-under.sap,E,GBP,01010000009FA5756561B901C03CC2C47AFEBF4A40,-2.2155178,53.4999536
