TRANSACTION_ID,AGENCYNUM,SALE_DATE,AIRPORT_FROM,AIRPORT_TO,TOTAL_PRICE
0056,00000112,2018-08-4,PIT,MEX,2666.650000
0057,00000103,2018-08-5,DAB,CWB,1848.040000
0058,00000114,2018-08-24,DEL,OAK,2566.060000
0059,00000087,2018-08-5,SJU,TBZ,2127.480000
0060,00000284,2018-08-24,BTS,DVO,3779.430000
0061,00000323,2018-08-3,CTA,SYD,1223.110000
0062,00000124,2018-08-21,PSA,TXL,3469.580000
0063,00000124,2018-08-28,DPS,LTX,2881.560000
0064,00000061,2018-08-9,DTW,KZN,2532.760000
0065,00000106,2018-08-9,KMG,EZE,3988.340000
0066,00000224,2018-08-19,GLA,PDX,3706.510000
0067,00000055,2018-08-18,DSM,LED,2323.220000
0068,00000301,2018-08-11,YYC,PIA,3410.470000
0069,00000105,2018-08-10,LJU,TLH,3065.110000
0070,00000093,2018-08-13,MGE,FLL,2385.430000
0071,00000108,2018-08-28,THR,SVX,3488.040000
0072,00000110,2018-08-27,HTS,CGN,3133.640000
0073,00000087,2018-08-26,YOW,CPT,1749.490000
0074,00000310,2018-08-24,BOJ,MDW,1990.730000
0075,00000320,2018-08-24,MSP,SRQ,3173.230000
0076,00000111,2018-08-3,CBR,RND,2619.370000
0077,00000120,2018-08-27,DBQ,AGS,1706.680000
0078,00000061,2018-08-25,LPL,AER,1757.050000
0079,00000152,2018-08-12,AGP,DLC,1509.820000
0080,00000254,2018-08-16,BOG,AER,2019.720000
0081,00000224,2018-08-9,BLR,DAL,3104.430000
0082,00000101,2018-08-6,GCM,CUZ,2189.860000
0083,00000104,2018-08-21,HER,DQM,2166.340000
0084,00000093,2018-08-1,ABQ,MRS,791.170000
0085,00000106,2018-08-2,SOQ,VRA,1740.720000
0086,00000124,2018-08-15,AUH,ADA,1319.500000
0087,00000229,2018-08-27,DCA,ABQ,3114.670000
0088,00000100,2018-08-4,CVS,FRA,3799.320000
0089,00000224,2018-08-22,NWI,NNG,3151.310000
0090,00000284,2018-08-4,MED,DUB,2952.190000
0091,00000109,2018-08-5,LUX,GRV,3551.390000
0092,00000119,2018-08-17,NNG,RIX,2175.220000
0093,00000323,2018-08-13,DQM,AYT,1725.570000
0094,00000130,2018-08-24,MAN,BAD,2721.660000
0095,00000325,2018-08-5,BWI,ADD,2634.000000
0096,00000119,2018-08-5,PTY,ABV,3945.980000
0097,00000224,2018-08-3,BOG,DYS,624.660000
0098,00000125,2018-08-5,CGN,KRK,2377.220000
0099,00000113,2018-08-6,SDF,STN,3014.730000
0100,00000102,2018-08-6,DWC,DEL,2855.000000
0101,00000295,2018-08-25,NAY,HYD,2215.700000
0102,00000310,2018-08-7,CMB,CLT,931.330000
0103,00000310,2018-08-23,SIP,PAM,2355.260000
0104,00000109,2018-08-18,MNH,POZ,3601.580000
0105,00000100,2018-08-7,CWL,LOS,785.800000
0106,00000122,2018-08-21,ODS,BGR,3316.070000
0107,00000320,2018-08-6,KBP,BZZ,2148.340000
0108,00000123,2018-08-14,HRK,ORD,2852.400000
0109,00000222,2018-08-27,BFI,LAX,3942.150000
0110,00000323,2018-08-16,BSL,LIN,3183.520000
0111,00000310,2018-08-9,EMA,CEB,1951.310000
0112,00000295,2018-08-11,GRV,HTS,2362.520000
0113,00000294,2018-08-7,XIY,LTN,1443.950000
0114,00000055,2018-08-3,TFN,AMA,2469.930000
0115,00000320,2018-08-20,BUF,LUN,1938.470000
0116,00000101,2018-08-16,BAH,SNN,2827.710000
0117,00000125,2018-08-19,LTS,AVL,1694.300000
0118,00000301,2018-08-11,BSR,HAV,2601.530000
0119,00000130,2018-08-16,KWI,NGB,2277.450000
0120,00000102,2018-08-6,CTA,MWX,3315.780000
0121,00000304,2018-08-11,DEN,TUS,2535.300000
0122,00000297,2018-08-25,WRB,HEL,2633.480000
0123,00000291,2018-08-26,DAY,CRL,3901.340000
0124,00000122,2018-08-22,GUS,ACC,3835.590000
0125,00000102,2018-08-1,BUF,TLL,1490.490000
0126,00000107,2018-08-21,CLT,CCJ,2563.160000
0127,00000122,2018-08-16,CSX,AMS,1354.580000
0128,00000115,2018-08-28,RIX,BLR,1108.590000
0129,00000222,2018-08-13,JNB,BCN,2180.050000
0130,00000304,2018-08-3,ERI,LIS,1342.310000
0131,00000103,2018-08-23,GOI,GMP,1975.210000
0132,00000229,2018-08-19,BCN,RFD,1664.190000
0133,00000117,2018-08-22,FFD,SVX,2353.630000
0134,00000093,2018-08-20,SFB,VDA,1020.020000
0135,00000122,2018-08-19,YYT,BUD,954.040000
0136,00000130,2018-08-9,CGK,MDL,850.020000
0137,00000117,2018-08-11,KJA,WMI,3440.810000
0138,00000121,2018-08-28,SFO,TIP,2058.760000
0139,00000325,2018-08-1,DAY,SSA,2803.870000
0140,00000304,2018-08-26,NBE,MSY,3645.930000
0141,00000325,2018-08-5,LIR,KBP,3221.570000
0142,00000122,2018-08-16,CJU,PVR,1168.470000
0143,00000108,2018-08-27,BOI,TRV,840.010000
0144,00000104,2018-08-16,VKO,KWL,1105.330000
0145,00000122,2018-08-23,CRK,QUO,2612.050000
0146,00000113,2018-08-9,SYR,MBA,2719.130000
0147,00000111,2018-08-11,ATQ,TFN,1711.200000
0148,00000106,2018-08-1,PMI,HND,683.240000
0149,00000112,2018-08-27,SCL,ATQ,3574.450000
0150,00000109,2018-08-14,FTW,LUN,2693.850000
0151,00000124,2018-08-1,GOA,CID,3516.250000
0152,00000122,2018-08-9,ERI,ERZ,3062.310000
0153,00000130,2018-08-25,LIS,SIP,2909.370000
0154,00000101,2018-08-27,DUR,BHD,3232.980000
0155,00000103,2018-08-1,TLH,POM,1680.590000
0156,00000087,2018-08-17,ICT,COS,3551.160000
0157,00000107,2018-08-9,XMN,TFS,1146.380000
0158,00000119,2018-08-3,FRA,SSC,594.290000
0159,00000108,2018-08-9,LHR,ADD,3532.780000
0160,00000119,2018-08-2,URC,RUH,3823.680000
0161,00000105,2018-08-8,CGN,LEJ,2195.430000
0162,00000320,2018-08-2,SAW,LFI,2599.020000
0163,00000125,2018-08-24,JAX,YYZ,3462.150000
0164,00000106,2018-08-8,BUF,JAN,1673.230000
0165,00000100,2018-08-23,CWB,HAJ,2151.710000
0166,00000188,2018-08-16,DMM,SKA,3768.600000
0167,00000284,2018-08-1,BOD,AGP,2454.590000
0168,00000106,2018-08-20,BZE,DAR,1204.780000
0169,00000102,2018-08-17,ATQ,HOU,3519.950000
0170,00000224,2018-08-25,KRT,AMM,3574.980000
0171,00000108,2018-08-8,URC,TIK,2979.120000
0172,00000114,2018-08-24,SHJ,VNO,1078.050000
0173,00000103,2018-08-9,CAN,BRU,1493.350000
0174,00000310,2018-08-28,BSR,CNF,1092.310000
0175,00000284,2018-08-8,HRG,KHV,1040.670000
0176,00000152,2018-08-15,SDQ,NBE,550.550000
0177,00000125,2018-08-9,SHA,HNL,3594.430000
0178,00000110,2018-08-27,LIR,DWC,1838.810000
0179,00000055,2018-08-5,KWI,UPG,1185.380000
0180,00000254,2018-08-16,REP,KHV,2812.020000
0181,00000117,2018-08-13,HER,KUV,2853.250000
0182,00000284,2018-08-15,GRJ,MAD,1413.460000
0183,00000118,2018-08-27,ORK,PHF,703.950000
0184,00000188,2018-08-23,MCF,FSM,1450.210000
0185,00000103,2018-08-21,NAS,END,3917.010000
0186,00000093,2018-08-12,PHF,TOS,555.450000
0187,00000111,2018-08-12,IAD,LEJ,1607.180000
0188,00000105,2018-08-6,SGF,DUR,1941.430000
0189,00000294,2018-08-20,CGH,CTS,2499.310000
0190,00000104,2018-08-3,SGN,BOD,3915.460000
0191,00000229,2018-08-10,NWI,ESB,3420.350000
0192,00000103,2018-08-14,KTW,ZAG,2101.170000
0193,00000121,2018-08-10,ABZ,MCT,2272.830000
0194,00000116,2018-08-23,CDG,CCU,1090.750000
0195,00000104,2018-08-10,WUH,ORD,2837.090000
0196,00000119,2018-08-23,ISB,GDN,3697.670000
0197,00000295,2018-08-12,PHF,VRN,2440.940000
0198,00000103,2018-08-9,NNG,LIT,1726.120000
0199,00000224,2018-08-12,TLL,STN,1540.310000
0200,00000117,2018-08-2,PSA,AMM,592.470000
0201,00000120,2018-08-28,BUF,PDL,3103.740000
0202,00000233,2018-08-7,ICN,BLA,798.100000
0203,00000106,2018-08-21,ORK,ZRH,3423.730000
0204,00000118,2018-08-28,LIS,GRU,915.080000
0205,00000122,2018-08-20,OTP,TIA,3956.410000
0206,00000229,2018-08-1,MEX,DCA,2415.970000
0207,00000055,2018-08-14,MUO,ICN,3136.160000
0208,00000152,2018-08-8,YOW,SVG,2746.970000
0209,00000229,2018-08-27,MUO,MTY,2175.770000
0210,00000125,2018-08-22,PUJ,BEG,1925.380000
0211,00000121,2018-08-26,TBS,YYZ,1524.480000
0212,00000121,2018-08-22,TLL,SSA,790.090000
0213,00000116,2018-08-19,SPS,SJJ,2784.390000
0214,00000319,2018-08-27,BHD,ABQ,2579.630000
0215,00000291,2018-08-2,DSM,KBP,3404.960000
0216,00000323,2018-08-8,HOU,GUS,3831.390000
0217,00000104,2018-08-4,BOG,LTK,552.220000
0218,00000100,2018-08-2,OKA,SHV,2484.130000
0219,00000100,2018-08-6,RDU,BHD,2784.970000
0220,00000113,2018-08-6,NNG,QUO,3770.590000
0221,00000106,2018-08-2,PDX,MNL,1548.140000
0222,00000124,2018-08-16,DRS,MNH,3894.270000
0223,00000123,2018-08-13,LIN,MCI,3550.680000
0224,00000107,2018-08-17,RFD,PVG,2704.100000
0225,00000100,2018-08-10,MST,LOS,2673.470000
0226,00000254,2018-08-6,WRO,AUS,2978.590000
0227,00000325,2018-08-19,CUZ,DAB,3041.460000
0228,00000125,2018-08-24,CTA,NKC,2989.420000
0229,00000291,2018-08-8,JFK,HRK,2057.150000
0230,00000109,2018-08-1,KMG,BUD,2008.460000
0231,00000108,2018-08-26,TRD,BZZ,3241.660000
0232,00000304,2018-08-19,GOI,CAN,1242.650000
0233,00000121,2018-08-16,LHR,PHX,2043.800000
0234,00000107,2018-08-16,NNG,ADD,3070.750000
0235,00000124,2018-08-21,COK,EVN,2817.020000
0236,00000222,2018-08-18,ANC,LBB,1662.900000
0237,00000294,2018-08-25,LED,GRV,3695.700000
0238,00000320,2018-08-12,DKR,BIL,600.750000
0239,00000119,2018-08-1,OKC,TUN,2276.240000
0240,00000111,2018-08-20,PHX,PMO,673.300000
0241,00000294,2018-08-22,ROV,PRG,500.560000
0242,00000188,2018-08-4,LYS,MUO,1736.570000
0243,00000152,2018-08-18,MNL,ANC,2329.790000
0244,00000110,2018-08-6,MSP,SGF,1185.240000
0245,00000115,2018-08-15,BGO,BFS,640.760000
0246,00000055,2018-08-6,CPT,YHZ,1049.010000
0247,00000087,2018-08-1,TRN,BFI,2362.650000
0248,00000120,2018-08-23,DWC,MHD,1660.830000
0249,00000310,2018-08-17,BGY,LTN,1298.570000
0250,00000115,2018-08-17,CMB,AUH,3778.940000
0251,00000121,2018-08-28,MEL,DME,1309.170000
0252,00000093,2018-08-20,CAE,ESB,2693.750000
0253,00000120,2018-08-9,LAS,LEX,2686.830000
0254,00000109,2018-08-14,BZZ,RUH,2505.840000
0255,00000107,2018-08-10,JFK,CLE,2211.420000
0256,00000104,2018-08-22,LGG,NCL,1951.390000
0257,00000107,2018-08-3,BWI,DEN,1758.150000
0258,00000105,2018-08-22,RST,NBO,831.820000
0259,00000233,2018-08-16,LHR,DAB,1076.430000
0260,00000291,2018-08-5,EIN,DUS,3744.800000
0261,00000222,2018-08-25,JNB,SRQ,3640.310000
0262,00000123,2018-08-26,CGN,GLA,3734.770000
0263,00000105,2018-08-21,TLV,CTU,1529.120000
0264,00000104,2018-08-2,PIA,CTU,1876.500000
0265,00000295,2018-08-16,BRE,ERZ,607.680000
0266,00000115,2018-08-21,CTS,NAT,3101.740000
0267,00000319,2018-08-15,DAM,HAJ,1063.420000
0268,00000320,2018-08-3,SFO,KNH,2599.490000
0269,00000310,2018-08-8,MEL,PBI,2230.440000
0270,00000107,2018-08-27,KBP,GRV,1966.160000
0271,00000120,2018-08-2,REP,SJD,3200.820000
0272,00000325,2018-08-19,SPS,NBO,2881.390000
0273,00000152,2018-08-3,BAD,BOJ,1217.090000
0274,00000110,2018-08-21,TOS,KRK,646.170000
0275,00000115,2018-08-12,CCJ,DYS,727.840000
0276,00000233,2018-08-7,IND,TSN,3532.460000
0277,00000101,2018-08-15,MXP,BAB,1901.960000
0278,00000229,2018-08-19,AMM,ORD,3714.920000
0279,00000122,2018-08-23,FSZ,DSM,2821.580000
0280,00000319,2018-08-16,ZRH,CAN,1572.960000
0281,00000229,2018-08-4,KWE,LTN,2840.300000
0282,00000301,2018-08-27,BOH,PMO,2465.150000
0283,00000121,2018-08-20,SYD,ROV,3590.330000
0284,00000291,2018-08-22,GOA,MUO,952.440000
0285,00000061,2018-08-12,TIJ,PTY,3939.310000
0286,00000108,2018-08-1,MHT,MCF,2131.290000
0287,00000297,2018-08-6,BGO,END,2265.300000
0288,00000284,2018-08-14,STR,DMK,1249.400000
0289,00000125,2018-08-6,PRG,BNE,2240.470000
0290,00000110,2018-08-20,ADB,SMF,2554.040000
0291,00000152,2018-08-19,DYS,URC,1743.890000
0292,00000116,2018-08-6,XIY,MWX,3568.310000
0293,00000297,2018-08-14,SIN,LPL,3878.170000
0294,00000229,2018-08-6,SJJ,PNH,1303.140000
0295,00000101,2018-08-19,DLH,DPS,3315.720000
0296,00000224,2018-08-16,AKT,PFO,696.340000
0297,00000116,2018-08-12,PMI,NKG,1293.090000
0298,00000113,2018-08-27,HMN,SXF,820.880000
0299,00000304,2018-08-13,TIJ,TSE,2566.420000
0300,00000102,2018-08-16,JNB,AVL,3515.600000
0301,00000320,2018-08-5,AAL,TUS,3675.240000
0302,00000110,2018-08-13,MUC,NCL,2218.870000
0303,00000123,2018-08-7,NWI,FWA,962.560000
0304,00000123,2018-08-9,COK,HAM,1311.420000
0305,00000087,2018-08-23,AYT,RSW,3953.110000
0306,00000120,2018-08-23,FTW,HRB,2878.360000
0307,00000117,2018-08-15,LAX,GZT,3732.970000
0308,00000124,2018-08-27,ADB,WNZ,590.420000
0309,00000323,2018-08-27,PNH,TFN,905.760000
0310,00000106,2018-08-21,GLA,ISB,1208.850000
0311,00000104,2018-08-27,CTS,DSM,995.890000
0312,00000123,2018-08-21,RFD,BTR,2605.380000
0313,00000152,2018-08-17,FMO,DMM,1020.820000
0314,00000087,2018-08-21,NKG,SSA,1446.790000
0315,00000124,2018-08-20,BEL,PRG,2510.980000
0316,00000120,2018-08-12,GSB,LEJ,1413.910000
0317,00000188,2018-08-22,ISE,FLL,2607.670000
0318,00000233,2018-08-15,TFS,ATH,3244.530000
0319,00000104,2018-08-8,DAL,TSE,2225.160000
0320,00000119,2018-08-19,ODS,BWI,1972.590000
0321,00000103,2018-08-9,CMN,HEL,3388.310000
0322,00000224,2018-08-27,YWG,WRO,2838.910000
0323,00000101,2018-08-12,ALP,RND,562.780000
0324,00000320,2018-08-1,FTW,PPE,1806.980000
0325,00000123,2018-08-9,FFO,TFS,3791.440000
0326,00000101,2018-08-11,COS,DEN,1812.960000
0327,00000110,2018-08-27,GRJ,PTP,2011.450000
0328,00000061,2018-08-24,KGF,KEF,2838.010000
0329,00000116,2018-08-16,HIB,BWN,3918.700000
0330,00000295,2018-08-23,SHE,HRK,1643.740000
0331,00000115,2018-08-2,JAN,MFM,1931.050000
0332,00000310,2018-08-18,CID,HKG,2873.590000
0333,00000224,2018-08-20,HKT,BUD,1288.670000
0334,00000116,2018-08-13,RIX,SZX,1291.460000
0335,00000310,2018-08-15,PBI,VKO,2363.810000
0336,00000130,2018-08-10,AKT,SHJ,1810.360000
0337,00000319,2018-08-1,NKG,AUH,810.080000
0338,00000104,2018-08-26,PRG,IND,1105.790000
0339,00000152,2018-08-23,MSP,ORY,3316.540000
0340,00000130,2018-08-20,BNE,LFI,796.860000
0341,00000100,2018-08-3,MSQ,MLI,2563.910000
0342,00000222,2018-08-2,BEY,PMI,3620.240000
0343,00000117,2018-08-18,RIX,BDL,3430.710000
0344,00000310,2018-08-6,JFK,CAI,605.390000
0345,00000123,2018-08-15,SJD,TUN,3350.670000
0346,00000115,2018-08-5,LJU,LTS,3341.200000
0347,00000125,2018-08-24,SGN,SHA,526.780000
0348,00000106,2018-08-26,GUM,SYR,3182.340000
0349,00000118,2018-08-3,TYN,PDX,1291.420000
0350,00000125,2018-08-28,KEF,LBB,2251.220000
0351,00000118,2018-08-23,JNB,DUR,3026.920000
0352,00000061,2018-08-25,GSO,SJD,1837.330000
0353,00000224,2018-08-18,ROC,DYS,3554.700000
0354,00000229,2018-08-13,CUN,TRD,3236.350000
0355,00000152,2018-08-4,SDQ,CGH,1958.130000
0356,00000320,2018-08-15,RRG,LUF,1545.630000
0357,00000188,2018-08-2,OKA,PHF,3253.230000
0358,00000119,2018-08-7,STR,SFB,1851.700000
0359,00000101,2018-08-25,ARN,AKL,1764.150000
0360,00000109,2018-08-23,TLV,MSP,693.990000
0361,00000233,2018-08-18,HOU,IND,1208.830000
0362,00000304,2018-08-26,SHV,LUN,3542.720000
0363,00000124,2018-08-8,BEL,HGH,3226.250000
0364,00000101,2018-08-12,TFN,DEN,757.010000
0365,00000291,2018-08-13,UFA,CHC,1062.980000
0366,00000319,2018-08-27,RND,CAN,1274.890000
0367,00000319,2018-08-28,MEL,UPG,3326.190000
0368,00000284,2018-08-9,NAS,SAW,3970.250000
0369,00000294,2018-08-12,TGD,KEF,3770.500000
0370,00000120,2018-08-7,TYN,BDL,939.630000
0371,00000325,2018-08-22,IAH,AAL,781.630000
0372,00000100,2018-08-10,CCJ,SJC,747.020000
0373,00000108,2018-08-25,VIE,CGY,2616.370000
0374,00000106,2018-08-24,POZ,WUH,3628.560000
0375,00000295,2018-08-14,GOT,TLL,2854.100000
0376,00000120,2018-08-23,BOI,TUS,3711.580000
0377,00000323,2018-08-18,MST,TER,2273.700000
0378,00000325,2018-08-23,XIY,GYD,2841.180000
0379,00000125,2018-08-21,DUR,NAT,2925.520000
0380,00000295,2018-08-3,YYZ,ABV,2334.890000
0381,00000114,2018-08-16,MEM,RRG,3847.970000
0382,00000224,2018-08-16,DTW,BRE,2173.880000
0383,00000295,2018-08-6,MAA,SYX,952.740000
0384,00000121,2018-08-10,SYD,NBO,786.690000
0385,00000102,2018-08-21,WNZ,LEJ,536.490000
0386,00000325,2018-08-10,SSA,BUD,3492.790000
0387,00000109,2018-08-19,DXB,TXL,2312.830000
0388,00000224,2018-08-14,DOH,HKT,1617.970000
0389,00000117,2018-08-11,DXB,SDQ,1535.800000
0390,00000325,2018-08-1,NAT,BZZ,1571.580000
0391,00000121,2018-08-2,MOB,STR,2154.350000
0392,00000323,2018-08-8,TXL,KNH,2183.730000
0393,00000055,2018-08-9,HEL,XMN,1376.750000
0394,00000119,2018-08-15,ABZ,KBP,3935.920000
0395,00000320,2018-08-14,SJJ,BHM,1307.370000
0396,00000323,2018-08-23,NBO,BMI,1727.530000
0397,00000323,2018-08-2,SHE,RND,2291.580000
0398,00000152,2018-08-8,MHZ,CMH,3811.870000
0399,00000120,2018-08-3,CWB,NBO,3428.200000
0400,00000101,2018-08-8,DSA,LTS,3578.370000
0401,00000111,2018-08-1,LCK,SAT,3332.490000
0402,00000114,2018-08-19,ERZ,MFM,2029.470000
0403,00000188,2018-08-24,CJU,VIE,1438.250000
0404,00000101,2018-08-12,MSP,ADL,2638.330000
0405,00000106,2018-08-5,LUN,CHA,721.140000
0406,00000108,2018-08-23,BSL,MEL,2356.300000
0407,00000284,2018-08-18,KJA,HER,1677.090000
0408,00000110,2018-08-10,PSA,AMS,2888.970000
0409,00000120,2018-08-7,BEG,SKA,2951.860000
0410,00000319,2018-08-28,FOC,VBG,1014.130000
0411,00000112,2018-08-11,SKG,YYZ,2549.630000
0412,00000310,2018-08-1,MUO,SOQ,1699.600000
0413,00000130,2018-08-12,BLA,FCO,2900.030000
0414,00000310,2018-08-21,HAM,YOW,3331.750000
0415,00000119,2018-08-24,DSA,AGP,1989.030000
0416,00000188,2018-08-19,CRK,LHR,1387.970000
0417,00000113,2018-08-10,NAS,ALC,3202.560000
0418,00000254,2018-08-23,CSX,SKA,3978.050000
0419,00000103,2018-08-5,SSA,VDA,1767.530000
0420,00000291,2018-08-8,SIP,SZL,1035.520000
0421,00000102,2018-08-8,GPT,GOI,2165.030000
0422,00000111,2018-08-28,RST,BUF,1601.230000
0423,00000111,2018-08-28,KWL,GRV,2387.280000
0424,00000108,2018-08-8,VDA,EDI,504.540000
0425,00000104,2018-08-7,SXF,DLC,1474.090000
0426,00000118,2018-08-2,TLL,ARN,2451.540000
0427,00000152,2018-08-19,BFI,BEG,3770.590000
0428,00000118,2018-08-17,GLA,FKB,1692.030000
0429,00000118,2018-08-9,MUO,CGY,740.190000
0430,00000109,2018-08-25,KEF,MSQ,2916.160000
0431,00000109,2018-08-17,AYT,SSA,3525.690000
0432,00000087,2018-08-14,OSL,CCU,1859.700000
0433,00000103,2018-08-25,JED,AMA,3245.030000
0434,00000114,2018-08-4,FTW,OSL,2813.080000
0435,00000229,2018-08-8,BOO,PTP,2869.790000
0436,00000152,2018-08-13,SAV,DLM,701.230000
0437,00000304,2018-08-2,MLE,SGF,1800.170000
0438,00000104,2018-08-27,BSB,DEN,1779.830000
0439,00000061,2018-08-7,MGE,ZAG,874.290000
0440,00000224,2018-08-28,IKA,EWR,1318.620000
0441,00000105,2018-08-16,PPE,PDL,3674.990000
0442,00000291,2018-08-27,SIN,CID,870.920000
0443,00000222,2018-08-13,MHD,SGN,3251.360000
0444,00000061,2018-08-11,CUN,UPG,1290.370000
0445,00000304,2018-08-24,LCK,GSP,3123.860000
0446,00000310,2018-08-4,ODS,MTY,3225.700000
0447,00000109,2018-08-26,STR,CWL,2947.960000
0448,00000284,2018-08-28,FUK,CMB,3614.160000
0449,00000323,2018-08-6,NAS,CWL,1693.000000
0450,00000294,2018-08-12,CAI,OTP,3457.030000
0451,00000115,2018-08-24,SHJ,LED,1356.330000
0452,00000320,2018-08-28,ISE,SZX,695.400000
0453,00000105,2018-08-26,KBP,DSM,646.330000
0454,00000224,2018-08-17,MVD,CRP,2242.330000
0455,00000102,2018-08-4,PRG,SYX,681.270000
0456,00000110,2018-08-23,LUX,PDX,2755.190000
0457,00000301,2018-08-14,BAD,CBR,1818.470000
0458,00000104,2018-08-4,MST,RST,1932.180000
0459,00000188,2018-08-26,SRQ,DAD,1968.970000
0460,00000319,2018-08-7,JED,BGW,2130.350000
0461,00000102,2018-08-18,PWM,DTM,3707.160000
0462,00000110,2018-08-5,EWR,RIX,532.010000
0463,00000229,2018-08-20,SAW,SJD,1678.170000
0464,00000100,2018-08-4,MSN,VRA,2495.060000
0465,00000101,2018-08-9,BGY,FSZ,2915.120000
0466,00000319,2018-08-3,BHD,JNB,2375.030000
0467,00000319,2018-08-5,OAK,DEN,2881.230000
0468,00000087,2018-08-12,SJJ,DAL,3610.020000
0469,00000101,2018-08-25,ORK,LEX,2450.490000
0470,00000229,2018-08-22,MFM,TFN,3482.840000
0471,00000101,2018-08-24,VKO,RIC,3879.060000
0472,00000125,2018-08-16,SUB,LED,2062.950000
0473,00000114,2018-08-23,MLI,GPT,1411.550000
0474,00000222,2018-08-13,AFW,MST,2692.850000
0475,00000301,2018-08-24,TLH,LBA,2762.340000
0476,00000130,2018-08-18,LGG,AMA,2184.090000
0477,00000111,2018-08-22,THR,NCE,3443.370000
0478,00000093,2018-08-27,SAL,MUC,569.690000
0479,00000055,2018-08-9,HAV,OVB,2797.150000
0480,00000108,2018-08-3,TUS,TYN,2134.980000
0481,00000297,2018-08-14,ADW,DSM,2265.630000
0482,00000323,2018-08-18,GEG,EMA,3883.840000
0483,00000110,2018-08-2,BOI,CCJ,3320.590000
0484,00000087,2018-08-25,PMO,TUS,1891.020000
0485,00000325,2018-08-28,DMM,ZAG,2005.560000
0486,00000119,2018-08-4,JNB,HET,2353.560000
0487,00000087,2018-08-16,BEL,MCF,927.580000
0488,00000320,2018-08-16,SVG,FFO,1647.900000
0489,00000297,2018-08-18,LTS,OKA,2849.060000
0490,00000188,2018-08-13,WRB,LOS,3057.490000
0491,00000301,2018-08-20,PDL,LAS,540.770000
0492,00000121,2018-08-21,HTS,CMN,1316.450000
0493,00000118,2018-08-6,BLA,DXB,1310.790000
0494,00000101,2018-08-23,SYR,CKG,2556.130000
0495,00000229,2018-08-22,EWR,KUF,2985.180000
0496,00000122,2018-08-10,SUB,CMB,1763.640000
0497,00000102,2018-08-17,GEG,NKC,2295.840000
